Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вид товара";Размеры;Толщина
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист 15х610х2000";2085.30;abs-plastik-list-15h610h2000;1;0;;;;;;"ABS пластик лист 15х610х2000";"ABS пластик лист 15х610х2000";;;;;лист;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист 20х610х2000";2757.60;abs-plastik-list-20h610h2000;1;0;;;;;;"ABS пластик лист 20х610х2000";"ABS пластик лист 20х610х2000";;;;;лист;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист 25х610х2000";3429.90;abs-plastik-list-25h610h2000;1;0;;;;;;"ABS пластик лист 25х610х2000";"ABS пластик лист 25х610х2000";;;;;лист;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист 30х610х2000";4103.10;abs-plastik-list-30h610h2000;1;0;;;;;;"ABS пластик лист 30х610х2000";"ABS пластик лист 30х610х2000";;;;;лист;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист 35х610х2000";4775.40;abs-plastik-list-35h610h2000;1;0;;;;;;"ABS пластик лист 35х610х2000";"ABS пластик лист 35х610х2000";;;;;лист;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист 40х610х2000";5447.70;abs-plastik-list-40h610h2000;1;0;;;;;;"ABS пластик лист 40х610х2000";"ABS пластик лист 40х610х2000";;;;;лист;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист 50х610х2000";6793.20;abs-plastik-list-50h610h2000;1;0;;;;;;"ABS пластик лист 50х610х2000";"ABS пластик лист 50х610х2000";;;;;лист;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист 60х610х2000";8137.80;abs-plastik-list-60h610h2000;1;0;;;;;;"ABS пластик лист 60х610х2000";"ABS пластик лист 60х610х2000";;;;;лист;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист 70х610х2000";9483.30;abs-plastik-list-70h610h2000;1;0;;;;;;"ABS пластик лист 70х610х2000";"ABS пластик лист 70х610х2000";;;;;лист;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист 80х610х2000";10827.90;abs-plastik-list-80h610h2000;1;0;;;;;;"ABS пластик лист 80х610х2000";"ABS пластик лист 80х610х2000";;;;;лист;;
